strategy,trial,response_probability,spam_misclassification_risk,connection_yield,ritual_goofiness_index
busy Discord,33,0.1707,0.7237,0.0504,0.3851
busy Discord,34,0.1148,0.7129,0.0198,0.3303
busy Discord,35,0.0478,0.7098,0.0157,0.4031
busy Discord,36,0.1805,0.6284,0.058,0.4184
busy Discord,37,0.1985,0.6365,0.0602,0.4079
busy Discord,38,0.1448,0.6992,0.0405,0.3831
busy Discord,39,0.3407,0.5489,0.0983,0.4196
busy Discord,40,0.3373,0.6438,0.0768,0.3698
busy Discord,41,0.1726,0.719,0.0233,0.3119
busy Discord,42,0.0831,0.722,0.0242,0.3836
friendly Discord,1,0.4402,0.4604,0.1522,0.4689
friendly Discord,2,0.1383,0.465,0.0627,0.5246
friendly Discord,3,0.3526,0.5009,0.2008,0.5758
friendly Discord,4,0.3773,0.5219,0.1488,0.4797
friendly Discord,5,0.3568,0.345,0.1505,0.538
friendly Discord,6,0.1149,0.4759,0.0489,0.5072
friendly Discord,7,0.2673,0.4694,0.0939,0.4697
friendly Discord,8,0.2878,0.4615,0.1506,0.5627
friendly Discord,9,0.2694,0.5273,0.101,0.4684
friendly Discord,10,0.2405,0.4347,0.13,0.5794
friendly Discord,11,0.4083,0.5197,0.2242,0.5599
friendly Discord,12,0.3134,0.43,0.1558,0.5573
friendly Discord,13,0.27,0.4271,0.0932,0.4762
friendly Discord,14,0.3236,0.6155,0.1657,0.5148
friendly Discord,15,0.4631,0.5027,0.1582,0.457
friendly Discord,16,0.2882,0.4598,0.129,0.5232
friendly Discord,17,0.3679,0.526,0.1556,0.4935
friendly Discord,18,0.1825,0.458,0.0762,0.5075
friendly Discord,19,0.413,0.2897,0.1528,0.522
friendly Discord,20,0.2481,0.444,0.142,0.5937
friendly Discord,21,0.3182,0.365,0.156,0.5711
friendly Discord,22,0.1671,0.5839,0.0566,0.4368
friendly Discord,23,0.3289,0.4206,0.148,0.5344
friendly Discord,24,0.1244,0.3822,0.044,0.4914
friendly Discord,25,0.3075,0.4189,0.1424,0.542
friendly Discord,26,0.315,0.464,0.1153,0.4788
friendly Discord,27,0.2684,0.3313,0.1354,0.5881
friendly Discord,28,0.3423,0.4287,0.1184,0.4762
friendly Discord,29,0.1913,0.437,0.0727,0.4926
friendly Discord,30,0.2693,0.4067,0.1221,0.54
friendly Discord,31,0.2745,0.4679,0.1159,0.5075
friendly Discord,32,0.4111,0.6155,0.1841,0.4832
friendly Discord,33,0.399,0.5178,0.1928,0.5265
friendly Discord,34,0.2268,0.4454,0.1045,0.5338
friendly Discord,35,0.2213,0.4366,0.0811,0.4855
friendly Discord,36,0.2935,0.4807,0.1196,0.4965
friendly Discord,37,0.2198,0.3812,0.0895,0.521
friendly Discord,38,0.3965,0.473,0.1977,0.5466
friendly Discord,39,0.3901,0.5109,0.1854,0.5243
friendly Discord,40,0.3049,0.4736,0.1527,0.5475
friendly Discord,41,0.4147,0.4701,0.2009,0.5399
friendly Discord,42,0.365,0.5471,0.1704,0.5104
cold DM,1,0.3506,0.3791,0.1721,0.5676
cold DM,2,0.4705,0.39,0.1891,0.5159
cold DM,3,0.2375,0.3418,0.1199,0.5855
cold DM,4,0.3055,0.2997,0.1241,0.5404
cold DM,5,0.3559,0.2874,0.1427,0.5404
cold DM,6,0.2794,0.4933,0.1296,0.5228
cold DM,7,0.3317,0.4201,0.1599,0.5518
cold DM,8,0.3111,0.3366,0.1569,0.5867
cold DM,9,0.4261,0.387,0.24,0.6052
cold DM,10,0.3731,0.3824,0.1855,0.5702
cold DM,11,0.453,0.3447,0.2244,0.5793
cold DM,12,0.3768,0.4576,0.1795,0.5389
cold DM,13,0.3886,0.3652,0.2218,0.6158
cold DM,14,0.378,0.4078,0.1736,0.5428
cold DM,15,0.2913,0.4565,0.1449,0.5503
cold DM,16,0.2565,0.4364,0.1649,0.6338
cold DM,17,0.4586,0.4693,0.1851,0.4975
cold DM,18,0.3591,0.3541,0.1579,0.5457
cold DM,19,0.3225,0.3983,0.1661,0.5756
cold DM,20,0.2237,0.4948,0.1011,0.5163
cold DM,21,0.2424,0.335,0.1292,0.6032
cold DM,22,0.225,0.4021,0.1051,0.5484
cold DM,23,0.3458,0.4331,0.1373,0.5027
cold DM,24,0.4621,0.3808,0.2483,0.5928
cold DM,25,0.2609,0.4223,0.1577,0.6174
cold DM,26,0.1505,0.4866,0.0689,0.5215
cold DM,27,0.2578,0.3268,0.1042,0.5327
cold DM,28,0.4531,0.4625,0.2052,0.5251
cold DM,29,0.3645,0.3263,0.1696,0.5672
cold DM,30,0.2589,0.3641,0.1273,0.572
cold DM,31,0.2761,0.4074,0.1706,0.6291
cold DM,32,0.402,0.3144,0.2018,0.5912
cold DM,33,0.2293,0.353,0.0871,0.5127
cold DM,34,0.3872,0.4994,0.1788,0.5203
cold DM,35,0.2724,0.4518,0.1115,0.5048
cold DM,36,0.4631,0.4065,0.1956,0.523
cold DM,37,0.347,0.3011,0.1588,0.5695
cold DM,38,0.4399,0.3957,0.202,0.5458
cold DM,39,0.2321,0.5299,0.107,0.5119
cold DM,40,0.2448,0.3509,0.0935,0.5143
cold DM,41,0.3512,0.3558,0.1079,0.4715
cold DM,42,0.37,0.4037,0.1499,0.5144
warm DM,1,0.4494,0.2288,0.2676,0.6696
warm DM,2,0.6059,0.2243,0.505,0.8117
warm DM,3,0.5396,0.144,0.313,0.6852
warm DM,4,0.4846,0.2358,0.361,0.7555
warm DM,5,0.5041,0.2106,0.3851,0.7753
warm DM,6,0.464,0.2782,0.3033,0.6886
warm DM,7,0.6213,0.1411,0.388,0.7133
warm DM,8,0.6595,0.3522,0.4595,0.6898
warm DM,9,0.4849,0.2983,0.374,0.7497
warm DM,10,0.5393,0.1932,0.3338,0.6942
warm DM,11,0.4253,0.1221,0.2964,0.7638
warm DM,12,0.4696,0.2664,0.2664,0.6422
warm DM,13,0.6188,0.2616,0.4116,0.7005
warm DM,14,0.382,0.0979,0.2629,0.7661
warm DM,15,0.3866,0.2636,0.2852,0.7421
warm DM,16,0.4302,0.2149,0.2603,0.6794
warm DM,17,0.5108,0.0977,0.3935,0.8175
warm DM,18,0.5292,0.2991,0.3644,0.7022
warm DM,19,0.3674,0.3892,0.2295,0.6384
warm DM,20,0.4802,0.2886,0.2908,0.6578
warm DM,21,0.6066,0.2372,0.4392,0.7427
warm DM,22,0.5629,0.2104,0.3291,0.6686
warm DM,23,0.3837,0.293,0.2577,0.6944
warm DM,24,0.5414,0.214,0.3959,0.7547
warm DM,25,0.4748,0.1903,0.4244,0.8601
warm DM,26,0.5075,0.2627,0.3051,0.6629
warm DM,27,0.5668,0.3283,0.3251,0.6279
warm DM,28,0.4605,0.3261,0.3697,0.7581
warm DM,29,0.6093,0.2761,0.3589,0.6519
warm DM,30,0.5763,0.3369,0.4682,0.7597
warm DM,31,0.5182,0.1806,0.4036,0.7944
warm DM,32,0.4881,0.2019,0.3591,0.7613
warm DM,33,0.4534,0.2117,0.35,0.7797
warm DM,34,0.5501,0.115,0.3842,0.7669
warm DM,35,0.4957,0.2119,0.2866,0.6643
warm DM,36,0.7008,0.2768,0.4634,0.6935
warm DM,37,0.4451,0.3414,0.3179,0.7031
warm DM,38,0.4916,0.3359,0.3944,0.7543
warm DM,39,0.6423,0.2571,0.4485,0.7212
warm DM,40,0.5592,0.2345,0.4086,0.7476
warm DM,41,0.5263,0.1355,0.4048,0.8039
warm DM,42,0.5616,0.2611,0.3979,0.7259
warm DM + second message,1,0.744,0.0188,0.6283,0.8922
warm DM + second message,2,0.5985,0.1046,0.5152,0.8715
warm DM + second message,3,0.807,0.08,0.7281,0.9065
warm DM + second message,4,0.6747,0.1204,0.4923,0.7846
warm DM + second message,5,0.6908,0.1238,0.5836,0.8546
warm DM + second message,6,0.7994,0.0599,0.7039,0.9002
warm DM + second message,7,0.7223,0.1512,0.5856,0.8239
warm DM + second message,8,0.6252,0.1201,0.4365,0.7652
warm DM + second message,9,0.75,0.1521,0.5756,0.7972
warm DM + second message,10,0.7862,0,0.617,0.8601
warm DM + second message,11,0.8094,0.0737,0.6696,0.8616
warm DM + second message,12,0.6458,0.2628,0.3976,0.6713
warm DM + second message,13,0.6913,0.0956,0.6068,0.8853
warm DM + second message,14,0.9195,0.2179,0.6264,0.7237
warm DM + second message,15,0.7551,0.1087,0.6213,0.8463
warm DM + second message,16,0.7652,0.027,0.5552,0.8127
warm DM + second message,17,0.6112,0.1947,0.5214,0.834
warm DM + second message,18,0.7648,0.2763,0.6531,0.805
warm DM + second message,19,0.6822,0.0515,0.526,0.8337
warm DM + second message,20,0.808,0.3167,0.5751,0.7097
warm DM + second message,21,0.6958,0.1178,0.5121,0.7893
warm DM + second message,22,0.7669,0.0808,0.6805,0.8968
warm DM + second message,23,0.6686,0.1444,0.5191,0.8052
warm DM + second message,24,0.6433,0,0.5162,0.8715
warm DM + second message,25,0.8057,0.0789,0.7766,0.9457
warm DM + second message,26,0.5681,0.1228,0.46,0.8333
warm DM + second message,27,0.7601,0.1583,0.6614,0.8576
warm DM + second message,28,0.7842,0.1387,0.5203,0.7379
warm DM + second message,29,0.776,0.082,0.6299,0.8488
warm DM + second message,30,0.7188,0.1459,0.5362,0.7861
warm DM + second message,31,0.8971,0.172,0.7317,0.8196
warm DM + second message,32,0.6665,0.1409,0.48,0.772
warm DM + second message,33,0.5943,0.1227,0.4907,0.8432
warm DM + second message,34,0.7425,0.1758,0.5963,0.8107
warm DM + second message,35,0.6599,0.1497,0.5682,0.8552
warm DM + second message,36,0.6241,0.045,0.5643,0.9208
warm DM + second message,37,0.7691,0.1086,0.7085,0.9076
warm DM + second message,38,0.7491,0.1243,0.6962,0.9066
warm DM + second message,39,0.7322,0.0919,0.5653,0.8205
warm DM + second message,40,0.613,0.1691,0.3861,0.708
warm DM + second message,41,0.6999,0.0808,0.5646,0.8461
warm DM + second message,42,0.9326,0.0795,0.7414,0.8392
