ask_variant,followup_variant,ritual_goofiness,trial,response_probability,connection_yield,forwarding_probability
read only,clinical humility,0.22,19,0.3835,0.1308,0.1652
read only,clinical humility,0.22,20,0.3967,0.0863,0.2374
read only,clinical humility,0.22,21,0.4992,0.1485,0.1656
read only,clinical humility,0.22,22,0.4708,0.1286,0.2348
read only,clinical humility,0.22,23,0.5232,0.0823,0.2945
read only,clinical humility,0.22,24,0.4981,0.1329,0.3217
read only,weird way to reach out,0.52,1,0.6228,0.2567,0.1917
read only,weird way to reach out,0.52,2,0.6199,0.2041,0.2131
read only,weird way to reach out,0.52,3,0.6328,0.2037,0.1726
read only,weird way to reach out,0.52,4,0.6071,0.1907,0.3294
read only,weird way to reach out,0.52,5,0.5851,0.1899,0.1912
read only,weird way to reach out,0.52,6,0.5957,0.2201,0.2605
read only,weird way to reach out,0.52,7,0.6214,0.2399,0.3543
read only,weird way to reach out,0.52,8,0.7057,0.2935,0.2739
read only,weird way to reach out,0.52,9,0.6314,0.2305,0.214
read only,weird way to reach out,0.52,10,0.6541,0.2177,0.2456
read only,weird way to reach out,0.52,11,0.6519,0.2099,0.1767
read only,weird way to reach out,0.52,12,0.5915,0.1954,0.1579
read only,weird way to reach out,0.52,13,0.7144,0.2629,0.2906
read only,weird way to reach out,0.52,14,0.727,0.2185,0.2526
read only,weird way to reach out,0.52,15,0.5355,0.1658,0.1857
read only,weird way to reach out,0.52,16,0.6313,0.2223,0.098
read only,weird way to reach out,0.52,17,0.5663,0.1919,0.2458
read only,weird way to reach out,0.52,18,0.6442,0.224,0.2395
read only,weird way to reach out,0.52,19,0.6242,0.2915,0.2148
read only,weird way to reach out,0.52,20,0.5212,0.2258,0.1993
read only,weird way to reach out,0.52,21,0.6941,0.2259,0.2494
read only,weird way to reach out,0.52,22,0.5352,0.1872,0.1928
read only,weird way to reach out,0.52,23,0.643,0.2664,0.1894
read only,weird way to reach out,0.52,24,0.5332,0.1955,0.1322
read only,small ritual named,0.74,1,0.5822,0.1571,0.2587
read only,small ritual named,0.74,2,0.6573,0.2063,0.222
read only,small ritual named,0.74,3,0.537,0.2183,0.2125
read only,small ritual named,0.74,4,0.5407,0.164,0.2622
read only,small ritual named,0.74,5,0.4657,0.1784,0.2675
read only,small ritual named,0.74,6,0.4988,0.1837,0.2693
read only,small ritual named,0.74,7,0.5776,0.2712,0.2657
read only,small ritual named,0.74,8,0.5211,0.2205,0.1513
read only,small ritual named,0.74,9,0.5332,0.2237,0.2547
read only,small ritual named,0.74,10,0.6633,0.2333,0.1547
read only,small ritual named,0.74,11,0.6294,0.2747,0.3193
read only,small ritual named,0.74,12,0.512,0.1845,0.2137
read only,small ritual named,0.74,13,0.6383,0.2319,0.2965
read only,small ritual named,0.74,14,0.5629,0.2165,0.2061
read only,small ritual named,0.74,15,0.5739,0.2913,0.2751
read only,small ritual named,0.74,16,0.4995,0.195,0.2514
read only,small ritual named,0.74,17,0.6821,0.2742,0.3056
read only,small ritual named,0.74,18,0.5383,0.1796,0.334
read only,small ritual named,0.74,19,0.4816,0.1731,0.139
read only,small ritual named,0.74,20,0.5403,0.1974,0.266
read only,small ritual named,0.74,21,0.6229,0.2375,0.3179
read only,small ritual named,0.74,22,0.5506,0.2112,0.2728
read only,small ritual named,0.74,23,0.5356,0.2496,0.2218
read only,small ritual named,0.74,24,0.6374,0.233,0.2787
read only,full cathedral footnote,0.93,1,0.3344,0.1095,0.2436
read only,full cathedral footnote,0.93,2,0.3759,0.1341,0.2239
read only,full cathedral footnote,0.93,3,0.3987,0.1349,0.3047
read only,full cathedral footnote,0.93,4,0.4308,0.1197,0.2916
read only,full cathedral footnote,0.93,5,0.3361,0.1483,0.22
read only,full cathedral footnote,0.93,6,0.4835,0.1614,0.2558
read only,full cathedral footnote,0.93,7,0.4123,0.1632,0.1795
read only,full cathedral footnote,0.93,8,0.519,0.1966,0.161
read only,full cathedral footnote,0.93,9,0.4302,0.1383,0.2456
read only,full cathedral footnote,0.93,10,0.2531,0.1228,0.2186
read only,full cathedral footnote,0.93,11,0.4462,0.1588,0.1903
read only,full cathedral footnote,0.93,12,0.3595,0.125,0.2283
read only,full cathedral footnote,0.93,13,0.3871,0.1212,0.242
read only,full cathedral footnote,0.93,14,0.4504,0.2244,0.1851
read only,full cathedral footnote,0.93,15,0.3018,0.0827,0.27
read only,full cathedral footnote,0.93,16,0.4447,0.1374,0.3043
read only,full cathedral footnote,0.93,17,0.3564,0.1462,0.1353
read only,full cathedral footnote,0.93,18,0.3222,0.1218,0.1623
read only,full cathedral footnote,0.93,19,0.3656,0.1286,0.1656
read only,full cathedral footnote,0.93,20,0.3478,0.1262,0.272
read only,full cathedral footnote,0.93,21,0.4029,0.1185,0.2517
read only,full cathedral footnote,0.93,22,0.4958,0.1772,0.2568
read only,full cathedral footnote,0.93,23,0.5184,0.2324,0.3377
read only,full cathedral footnote,0.93,24,0.4315,0.1472,0.1916
discuss only,none,0.0,1,0.4744,0.1211,0.2156
discuss only,none,0.0,2,0.46,0.1154,0.1514
discuss only,none,0.0,3,0.6154,0.2159,0.2397
discuss only,none,0.0,4,0.5238,0.1063,0.182
discuss only,none,0.0,5,0.5044,0.1034,0.2932
discuss only,none,0.0,6,0.5873,0.1074,0.3278
discuss only,none,0.0,7,0.5272,0.1332,0.2613
discuss only,none,0.0,8,0.4308,0.0807,0.2081
discuss only,none,0.0,9,0.4253,0.1451,0.2192
discuss only,none,0.0,10,0.506,0.1345,0.1958
discuss only,none,0.0,11,0.4498,0.076,0.2201
discuss only,none,0.0,12,0.5633,0.1558,0.2843
discuss only,none,0.0,13,0.4556,0.1015,0.2605
discuss only,none,0.0,14,0.4027,0.1416,0.2331
discuss only,none,0.0,15,0.4078,0.0813,0.1856
discuss only,none,0.0,16,0.3942,0.0874,0.2471
discuss only,none,0.0,17,0.4737,0.1114,0.213
discuss only,none,0.0,18,0.4915,0.1515,0.229
discuss only,none,0.0,19,0.5093,0.1217,0.2177
discuss only,none,0.0,20,0.3837,0.1018,0.1657
discuss only,none,0.0,21,0.445,0.0999,0.1567
discuss only,none,0.0,22,0.4915,0.0832,0.2939
discuss only,none,0.0,23,0.5012,0.11,0.2008
discuss only,none,0.0,24,0.3711,0.1127,0.1914
discuss only,clinical humility,0.22,1,0.6391,0.189,0.2794
discuss only,clinical humility,0.22,2,0.6231,0.2157,0.2592
discuss only,clinical humility,0.22,3,0.5278,0.1737,0.2447
discuss only,clinical humility,0.22,4,0.6555,0.2585,0.2464
discuss only,clinical humility,0.22,5,0.6052,0.2265,0.279
discuss only,clinical humility,0.22,6,0.5902,0.2198,0.2607
discuss only,clinical humility,0.22,7,0.4965,0.2109,0.2947
discuss only,clinical humility,0.22,8,0.7392,0.2936,0.2182
discuss only,clinical humility,0.22,9,0.6287,0.2496,0.1935
discuss only,clinical humility,0.22,10,0.594,0.2275,0.2071
discuss only,clinical humility,0.22,11,0.5499,0.2703,0.2236
discuss only,clinical humility,0.22,12,0.5922,0.2192,0.275
discuss only,clinical humility,0.22,13,0.6374,0.2338,0.3093
discuss only,clinical humility,0.22,14,0.6888,0.2149,0.3396
discuss only,clinical humility,0.22,15,0.6095,0.241,0.2615
discuss only,clinical humility,0.22,16,0.6474,0.2427,0.3039
discuss only,clinical humility,0.22,17,0.6229,0.2282,0.2939
discuss only,clinical humility,0.22,18,0.522,0.1453,0.1844
discuss only,clinical humility,0.22,19,0.5633,0.2305,0.2307
discuss only,clinical humility,0.22,20,0.6342,0.2561,0.3549
discuss only,clinical humility,0.22,21,0.7169,0.2956,0.3575
discuss only,clinical humility,0.22,22,0.6276,0.2201,0.2436
discuss only,clinical humility,0.22,23,0.6328,0.1943,0.2594
discuss only,clinical humility,0.22,24,0.6061,0.2424,0.2479
discuss only,weird way to reach out,0.52,1,0.8115,0.3655,0.4028
discuss only,weird way to reach out,0.52,2,0.7603,0.3368,0.3647
discuss only,weird way to reach out,0.52,3,0.6361,0.305,0.2952
discuss only,weird way to reach out,0.52,4,0.7589,0.3854,0.3528
discuss only,weird way to reach out,0.52,5,0.6956,0.3413,0.3045
discuss only,weird way to reach out,0.52,6,0.7374,0.3977,0.3115
discuss only,weird way to reach out,0.52,7,0.7154,0.2761,0.3248
discuss only,weird way to reach out,0.52,8,0.7419,0.3225,0.4469
discuss only,weird way to reach out,0.52,9,0.7725,0.3517,0.402
discuss only,weird way to reach out,0.52,10,0.6581,0.3624,0.298
discuss only,weird way to reach out,0.52,11,0.7231,0.2865,0.3151
discuss only,weird way to reach out,0.52,12,0.7142,0.3715,0.3519
discuss only,weird way to reach out,0.52,13,0.721,0.2942,0.3759
discuss only,weird way to reach out,0.52,14,0.6899,0.3358,0.298
discuss only,weird way to reach out,0.52,15,0.8222,0.4447,0.3901
discuss only,weird way to reach out,0.52,16,0.7713,0.365,0.3299
discuss only,weird way to reach out,0.52,17,0.7664,0.3365,0.3281
discuss only,weird way to reach out,0.52,18,0.6447,0.319,0.3222
discuss only,weird way to reach out,0.52,19,0.7056,0.3823,0.3591
discuss only,weird way to reach out,0.52,20,0.7431,0.3507,0.3223
discuss only,weird way to reach out,0.52,21,0.8542,0.3772,0.343
discuss only,weird way to reach out,0.52,22,0.7419,0.3572,0.3088
discuss only,weird way to reach out,0.52,23,0.7637,0.3698,0.3543
discuss only,weird way to reach out,0.52,24,0.8129,0.3922,0.3437
discuss only,small ritual named,0.74,1,0.66,0.3418,0.2797
discuss only,small ritual named,0.74,2,0.7028,0.325,0.3504
discuss only,small ritual named,0.74,3,0.7671,0.287,0.3327
discuss only,small ritual named,0.74,4,0.6598,0.3356,0.2911
discuss only,small ritual named,0.74,5,0.7779,0.4757,0.2573
discuss only,small ritual named,0.74,6,0.7518,0.3689,0.3412
discuss only,small ritual named,0.74,7,0.7076,0.3585,0.3012
discuss only,small ritual named,0.74,8,0.7332,0.3883,0.408
discuss only,small ritual named,0.74,9,0.6842,0.3221,0.3373
discuss only,small ritual named,0.74,10,0.7496,0.4245,0.4068
discuss only,small ritual named,0.74,11,0.7605,0.4309,0.3329
discuss only,small ritual named,0.74,12,0.7559,0.4028,0.3717
discuss only,small ritual named,0.74,13,0.6813,0.3288,0.3481
discuss only,small ritual named,0.74,14,0.7295,0.3975,0.3046
discuss only,small ritual named,0.74,15,0.7353,0.3656,0.3275
discuss only,small ritual named,0.74,16,0.6336,0.2404,0.3314
discuss only,small ritual named,0.74,17,0.6815,0.3282,0.3213
discuss only,small ritual named,0.74,18,0.7609,0.3666,0.3333
discuss only,small ritual named,0.74,19,0.6216,0.3375,0.3309
discuss only,small ritual named,0.74,20,0.8172,0.3837,0.3475
discuss only,small ritual named,0.74,21,0.6241,0.3277,0.2491
discuss only,small ritual named,0.74,22,0.6105,0.3304,0.3003
discuss only,small ritual named,0.74,23,0.6226,0.285,0.3247
discuss only,small ritual named,0.74,24,0.7194,0.3922,0.2827
discuss only,full cathedral footnote,0.93,1,0.5065,0.242,0.2826
discuss only,full cathedral footnote,0.93,2,0.6412,0.2677,0.34
discuss only,full cathedral footnote,0.93,3,0.5935,0.2593,0.31
discuss only,full cathedral footnote,0.93,4,0.5021,0.2754,0.3481
discuss only,full cathedral footnote,0.93,5,0.5289,0.2169,0.3932
discuss only,full cathedral footnote,0.93,6,0.5766,0.2523,0.303
discuss only,full cathedral footnote,0.93,7,0.5147,0.2275,0.3327
discuss only,full cathedral footnote,0.93,8,0.5677,0.2535,0.2785
discuss only,full cathedral footnote,0.93,9,0.4531,0.2644,0.2997
discuss only,full cathedral footnote,0.93,10,0.6012,0.2784,0.372
discuss only,full cathedral footnote,0.93,11,0.5614,0.3031,0.2799
discuss only,full cathedral footnote,0.93,12,0.6348,0.353,0.2948
discuss only,full cathedral footnote,0.93,13,0.4768,0.1983,0.237
discuss only,full cathedral footnote,0.93,14,0.5352,0.2609,0.3813
discuss only,full cathedral footnote,0.93,15,0.4315,0.2102,0.2892
discuss only,full cathedral footnote,0.93,16,0.4834,0.2594,0.3008
discuss only,full cathedral footnote,0.93,17,0.5048,0.2805,0.3364
discuss only,full cathedral footnote,0.93,18,0.434,0.2662,0.2063
discuss only,full cathedral footnote,0.93,19,0.5668,0.3352,0.2829
discuss only,full cathedral footnote,0.93,20,0.4851,0.2206,0.2667
discuss only,full cathedral footnote,0.93,21,0.4633,0.2038,0.2948
discuss only,full cathedral footnote,0.93,22,0.5625,0.2511,0.3517
discuss only,full cathedral footnote,0.93,23,0.5968,0.2169,0.2629
discuss only,full cathedral footnote,0.93,24,0.5756,0.2409,0.3575
share only,none,0.0,1,0.275,0.0569,0.2091
share only,none,0.0,2,0.2193,0.0391,0.2907
share only,none,0.0,3,0.125,0.0065,0.2112
share only,none,0.0,4,0.2326,0.044,0.2095
share only,none,0.0,5,0.2502,0.0427,0.2075
share only,none,0.0,6,0.2089,0.0227,0.1583
share only,none,0.0,7,0.2758,0.0305,0.3025
share only,none,0.0,8,0.2609,0.0,0.1863
share only,none,0.0,9,0.2284,0.0324,0.2173
share only,none,0.0,10,0.1376,0.0174,0.1806
share only,none,0.0,11,0.2991,0.0441,0.2373
share only,none,0.0,12,0.223,0.0362,0.2736
share only,none,0.0,13,0.2077,0.0354,0.1788
share only,none,0.0,14,0.2409,0.0373,0.2087
share only,none,0.0,15,0.1119,0.0212,0.2144
share only,none,0.0,16,0.2216,0.0507,0.1366
share only,none,0.0,17,0.3137,0.0281,0.2518
share only,none,0.0,18,0.2555,0.0382,0.1448
share only,none,0.0,19,0.2225,0.0189,0.2292
share only,none,0.0,20,0.1734,0.0147,0.1822
share only,none,0.0,21,0.12,0.0132,0.1503
share only,none,0.0,22,0.201,0.026,0.134
share only,none,0.0,23,0.2739,0.0534,0.2791
share only,none,0.0,24,0.2186,0.0358,0.1441
share only,clinical humility,0.22,1,0.2642,0.085,0.2236
share only,clinical humility,0.22,2,0.2879,0.062,0.2973
share only,clinical humility,0.22,3,0.3644,0.0471,0.1973
share only,clinical humility,0.22,4,0.3526,0.1209,0.2838
share only,clinical humility,0.22,5,0.2999,0.0441,0.3097
share only,clinical humility,0.22,6,0.3235,0.094,0.2775
share only,clinical humility,0.22,7,0.3619,0.0889,0.3099
share only,clinical humility,0.22,8,0.2573,0.0701,0.1997
share only,clinical humility,0.22,9,0.1892,0.0542,0.236
share only,clinical humility,0.22,10,0.3857,0.0985,0.2677
share only,clinical humility,0.22,11,0.2788,0.0801,0.2967
share only,clinical humility,0.22,12,0.3265,0.0762,0.2408
share only,clinical humility,0.22,13,0.3285,0.0691,0.27
share only,clinical humility,0.22,14,0.2914,0.0851,0.1847
share only,clinical humility,0.22,15,0.3446,0.0722,0.2133
share only,clinical humility,0.22,16,0.3144,0.0893,0.2869
share only,clinical humility,0.22,17,0.3205,0.086,0.2569
share only,clinical humility,0.22,18,0.336,0.0779,0.2365
share only,clinical humility,0.22,19,0.3776,0.0832,0.3549
share only,clinical humility,0.22,20,0.3866,0.113,0.2061
share only,clinical humility,0.22,21,0.3553,0.0744,0.2784
share only,clinical humility,0.22,22,0.4121,0.0628,0.2605
share only,clinical humility,0.22,23,0.3083,0.0683,0.3017
share only,clinical humility,0.22,24,0.2767,0.0837,0.1941
share only,weird way to reach out,0.52,1,0.4152,0.1529,0.4004
share only,weird way to reach out,0.52,2,0.5163,0.1404,0.4579
share only,weird way to reach out,0.52,3,0.5502,0.2036,0.3762
share only,weird way to reach out,0.52,4,0.5019,0.2064,0.369
share only,weird way to reach out,0.52,5,0.4304,0.1193,0.3653
share only,weird way to reach out,0.52,6,0.4856,0.1667,0.2951
share only,weird way to reach out,0.52,7,0.4499,0.1268,0.2554
share only,weird way to reach out,0.52,8,0.4456,0.1825,0.3173
share only,weird way to reach out,0.52,9,0.4508,0.1659,0.36
share only,weird way to reach out,0.52,10,0.393,0.1463,0.3281
share only,weird way to reach out,0.52,11,0.4844,0.1894,0.3891
share only,weird way to reach out,0.52,12,0.5028,0.1537,0.327
share only,weird way to reach out,0.52,13,0.4922,0.1588,0.3955
share only,weird way to reach out,0.52,14,0.3982,0.0794,0.3193
share only,weird way to reach out,0.52,15,0.4592,0.1263,0.2868
share only,weird way to reach out,0.52,16,0.4969,0.2108,0.382
share only,weird way to reach out,0.52,17,0.4652,0.1882,0.3225
share only,weird way to reach out,0.52,18,0.4771,0.1251,0.4214
share only,weird way to reach out,0.52,19,0.4831,0.1555,0.4226
share only,weird way to reach out,0.52,20,0.4481,0.1019,0.3645
share only,weird way to reach out,0.52,21,0.4577,0.0971,0.3207
share only,weird way to reach out,0.52,22,0.6088,0.2182,0.4294
share only,weird way to reach out,0.52,23,0.488,0.1599,0.4166
share only,weird way to reach out,0.52,24,0.4674,0.1682,0.3454
share only,small ritual named,0.74,1,0.5174,0.2113,0.3068
share only,small ritual named,0.74,2,0.4424,0.1188,0.4126
share only,small ritual named,0.74,3,0.4122,0.1579,0.2401
share only,small ritual named,0.74,4,0.513,0.2144,0.3437
share only,small ritual named,0.74,5,0.4633,0.2099,0.3631
share only,small ritual named,0.74,6,0.4766,0.198,0.437
share only,small ritual named,0.74,7,0.4368,0.1579,0.3657
share only,small ritual named,0.74,8,0.4917,0.2084,0.4039
share only,small ritual named,0.74,9,0.3465,0.119,0.3105
share only,small ritual named,0.74,10,0.4538,0.201,0.3146
share only,small ritual named,0.74,11,0.4459,0.166,0.2807
share only,small ritual named,0.74,12,0.4159,0.1276,0.3
share only,small ritual named,0.74,13,0.4455,0.1581,0.3298
share only,small ritual named,0.74,14,0.5061,0.1837,0.3393
share only,small ritual named,0.74,15,0.4657,0.1374,0.385
share only,small ritual named,0.74,16,0.4153,0.1542,0.329
share only,small ritual named,0.74,17,0.3785,0.1451,0.3658
share only,small ritual named,0.74,18,0.4289,0.1726,0.3187
share only,small ritual named,0.74,19,0.4063,0.2096,0.3259
share only,small ritual named,0.74,20,0.473,0.1475,0.3327
share only,small ritual named,0.74,21,0.5248,0.2157,0.336
share only,small ritual named,0.74,22,0.2964,0.1071,0.2519
share only,small ritual named,0.74,23,0.3437,0.0962,0.3434
share only,small ritual named,0.74,24,0.472,0.2002,0.4165
share only,full cathedral footnote,0.93,1,0.2262,0.0774,0.3529
share only,full cathedral footnote,0.93,2,0.2487,0.1143,0.3455
share only,full cathedral footnote,0.93,3,0.2238,0.0858,0.265
share only,full cathedral footnote,0.93,4,0.2774,0.0938,0.2761
share only,full cathedral footnote,0.93,5,0.2799,0.1263,0.3099
share only,full cathedral footnote,0.93,6,0.3156,0.119,0.2628
share only,full cathedral footnote,0.93,7,0.2075,0.0748,0.2284
share only,full cathedral footnote,0.93,8,0.3558,0.1384,0.3234
share only,full cathedral footnote,0.93,9,0.1017,0.0473,0.2127
share only,full cathedral footnote,0.93,10,0.2355,0.1008,0.3196
share only,full cathedral footnote,0.93,11,0.2331,0.077,0.4172
share only,full cathedral footnote,0.93,12,0.2022,0.0661,0.2244
share only,full cathedral footnote,0.93,13,0.2535,0.1024,0.3549
share only,full cathedral footnote,0.93,14,0.2281,0.0817,0.2862
share only,full cathedral footnote,0.93,15,0.2458,0.0873,0.2545
share only,full cathedral footnote,0.93,16,0.4027,0.1502,0.3545
share only,full cathedral footnote,0.93,17,0.2577,0.0872,0.3122
share only,full cathedral footnote,0.93,18,0.2146,0.0651,0.284
share only,full cathedral footnote,0.93,19,0.1424,0.0415,0.3645
share only,full cathedral footnote,0.93,20,0.1944,0.0512,0.2551
share only,full cathedral footnote,0.93,21,0.1362,0.0433,0.3145
share only,full cathedral footnote,0.93,22,0.2892,0.1005,0.218
share only,full cathedral footnote,0.93,23,0.2432,0.1127,0.3275
share only,full cathedral footnote,0.93,24,0.2485,0.1035,0.2045
read + discuss,none,0.0,1,0.4131,0.1041,0.1346
read + discuss,none,0.0,2,0.4594,0.1453,0.2655
read + discuss,none,0.0,3,0.6126,0.2318,0.1806
read + discuss,none,0.0,4,0.4675,0.1868,0.2622
read + discuss,none,0.0,5,0.6123,0.2164,0.3393
read + discuss,none,0.0,6,0.5129,0.2281,0.2926
read + discuss,none,0.0,7,0.5526,0.2229,0.2342
read + discuss,none,0.0,8,0.5275,0.1733,0.3277
read + discuss,none,0.0,9,0.5684,0.2175,0.2801
read + discuss,none,0.0,10,0.5715,0.2216,0.2816
read + discuss,none,0.0,11,0.4951,0.1928,0.2213
read + discuss,none,0.0,12,0.4648,0.1427,0.1804
read + discuss,none,0.0,13,0.6073,0.2118,0.2875
read + discuss,none,0.0,14,0.5867,0.2676,0.2385
read + discuss,none,0.0,15,0.4667,0.1513,0.2675
read + discuss,none,0.0,16,0.5382,0.2114,0.2405
read + discuss,none,0.0,17,0.6295,0.2426,0.2955
read + discuss,none,0.0,18,0.5417,0.2303,0.3213
read + discuss,none,0.0,19,0.5518,0.2418,0.3195
read + discuss,none,0.0,20,0.5019,0.2104,0.2685
read + discuss,none,0.0,21,0.56,0.192,0.2327
read + discuss,none,0.0,22,0.5377,0.1813,0.222
read + discuss,none,0.0,23,0.5464,0.2505,0.2732
read + discuss,none,0.0,24,0.612,0.2305,0.1795
read + discuss,clinical humility,0.22,1,0.5966,0.2592,0.3309
read + discuss,clinical humility,0.22,2,0.6782,0.3471,0.4019
read + discuss,clinical humility,0.22,3,0.6323,0.2668,0.303
read + discuss,clinical humility,0.22,4,0.6185,0.2282,0.2929
read + discuss,clinical humility,0.22,5,0.6039,0.2747,0.313
read + discuss,clinical humility,0.22,6,0.7364,0.3526,0.367
read + discuss,clinical humility,0.22,7,0.7147,0.3079,0.3258
read + discuss,clinical humility,0.22,8,0.6482,0.2632,0.2842
read + discuss,clinical humility,0.22,9,0.6793,0.3529,0.31
read + discuss,clinical humility,0.22,10,0.7157,0.2995,0.2886
read + discuss,clinical humility,0.22,11,0.6064,0.266,0.2363
read + discuss,clinical humility,0.22,12,0.6664,0.2857,0.3065
read + discuss,clinical humility,0.22,13,0.6099,0.2389,0.4246
read + discuss,clinical humility,0.22,14,0.6067,0.326,0.2778
read + discuss,clinical humility,0.22,15,0.7063,0.3014,0.2707
read + discuss,clinical humility,0.22,16,0.7679,0.3924,0.2752
read + discuss,clinical humility,0.22,17,0.7316,0.3898,0.2906
read + discuss,clinical humility,0.22,18,0.6457,0.3245,0.3154
read + discuss,clinical humility,0.22,19,0.7035,0.381,0.2655
read + discuss,clinical humility,0.22,20,0.6246,0.2833,0.2814
read + discuss,clinical humility,0.22,21,0.6567,0.2993,0.344
read + discuss,clinical humility,0.22,22,0.6503,0.3913,0.3591
read + discuss,clinical humility,0.22,23,0.6714,0.3151,0.308
read + discuss,clinical humility,0.22,24,0.5925,0.2746,0.2806
read + discuss,weird way to reach out,0.52,1,0.8248,0.4606,0.3992
read + discuss,weird way to reach out,0.52,2,0.9174,0.5013,0.3864
read + discuss,weird way to reach out,0.52,3,0.8138,0.4151,0.368
read + discuss,weird way to reach out,0.52,4,0.7837,0.5343,0.411
read + discuss,weird way to reach out,0.52,5,0.8226,0.5464,0.395
read + discuss,weird way to reach out,0.52,6,0.7998,0.3601,0.3026
read + discuss,weird way to reach out,0.52,7,0.717,0.4474,0.3003
read + discuss,weird way to reach out,0.52,8,0.7539,0.4541,0.4443
read + discuss,weird way to reach out,0.52,9,0.7679,0.3968,0.3356
read + discuss,weird way to reach out,0.52,10,0.7859,0.457,0.3058
read + discuss,weird way to reach out,0.52,11,0.774,0.354,0.4399
read + discuss,weird way to reach out,0.52,12,0.8847,0.6012,0.2788
read + discuss,weird way to reach out,0.52,13,0.8502,0.4106,0.4266
read + discuss,weird way to reach out,0.52,14,0.8128,0.4809,0.2681
read + discuss,weird way to reach out,0.52,15,0.8198,0.5241,0.3157
read + discuss,weird way to reach out,0.52,16,0.78,0.4743,0.3043
read + discuss,weird way to reach out,0.52,17,0.8117,0.512,0.3455
read + discuss,weird way to reach out,0.52,18,0.7877,0.4533,0.2744
read + discuss,weird way to reach out,0.52,19,0.9071,0.558,0.3831
read + discuss,weird way to reach out,0.52,20,0.8266,0.453,0.3048
read + discuss,weird way to reach out,0.52,21,0.6182,0.3625,0.3462
read + discuss,weird way to reach out,0.52,22,0.7499,0.4646,0.3314
read + discuss,weird way to reach out,0.52,23,0.7136,0.4645,0.3614
read + discuss,weird way to reach out,0.52,24,0.7942,0.418,0.2754
read + discuss,small ritual named,0.74,1,0.7475,0.4305,0.2985
read + discuss,small ritual named,0.74,2,0.7518,0.5928,0.3564
read + discuss,small ritual named,0.74,3,0.7729,0.5166,0.3316
read + discuss,small ritual named,0.74,4,0.6727,0.4024,0.3069
read + discuss,small ritual named,0.74,5,0.7698,0.4016,0.3263
read + discuss,small ritual named,0.74,6,0.7505,0.3972,0.3847
read + discuss,small ritual named,0.74,7,0.7379,0.5273,0.4932
read + discuss,small ritual named,0.74,8,0.6428,0.3723,0.3431
read + discuss,small ritual named,0.74,9,0.7262,0.4222,0.3697
read + discuss,small ritual named,0.74,10,0.8313,0.511,0.386
read + discuss,small ritual named,0.74,11,0.7963,0.5291,0.3783
read + discuss,small ritual named,0.74,12,0.8115,0.485,0.4039
read + discuss,small ritual named,0.74,13,0.6983,0.4106,0.4453
read + discuss,small ritual named,0.74,14,0.753,0.4903,0.3879
read + discuss,small ritual named,0.74,15,0.8143,0.6253,0.4097
read + discuss,small ritual named,0.74,16,0.7724,0.4653,0.4484
read + discuss,small ritual named,0.74,17,0.7864,0.4859,0.3662
read + discuss,small ritual named,0.74,18,0.6864,0.4012,0.3572
